INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2001,9.1
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2002,8.608
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2003,8.45
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2004,8.017
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2005,7.758
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2006,6.867
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2007,6.2
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2008,6.792
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2009,7.875
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2010,8.508
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2011,8.575
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2012,10.892
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2013,12.367
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2014,12.783
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2015,12.017
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2016,11.717
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2017,11.3
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2018,10.6
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2019,9.908
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2020,9.358
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2021,9.508
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2022,8.125
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2023,7.683
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2024,6.558
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2025,6.654
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2026,6.711
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2027,6.793
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2028,6.866
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2029,6.836
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2030,6.806
