INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2019,2.358
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2020,2.8
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2021,2.817
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2022,2.592
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2023,2.575
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2024,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2025,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2026,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2027,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2028,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2029,2.567
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2030,2.567
