,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
41,2000-08-29,D,effective_federal_funds_rate,6.51,False,False
42,2000-08-30,D,effective_federal_funds_rate,6.51,False,False
43,2000-08-31,D,effective_federal_funds_rate,6.65,False,False
44,2000-09-01,D,effective_federal_funds_rate,6.52,False,False
45,2000-09-04,D,effective_federal_funds_rate,,True,True
46,2000-09-05,D,effective_federal_funds_rate,6.61,False,False
47,2000-09-06,D,effective_federal_funds_rate,6.56,False,False
48,2000-09-07,D,effective_federal_funds_rate,6.53,False,False
49,2000-09-08,D,effective_federal_funds_rate,6.5,False,False
50,2000-09-11,D,effective_federal_funds_rate,6.5,False,False
51,2000-09-12,D,effective_federal_funds_rate,6.47,False,False
52,2000-09-13,D,effective_federal_funds_rate,6.47,False,False
53,2000-09-14,D,effective_federal_funds_rate,6.5,False,False
54,2000-09-15,D,effective_federal_funds_rate,6.55,False,False
55,2000-09-18,D,effective_federal_funds_rate,6.44,False,False
56,2000-09-19,D,effective_federal_funds_rate,6.4,False,False
57,2000-09-20,D,effective_federal_funds_rate,6.5,False,False
58,2000-09-21,D,effective_federal_funds_rate,6.53,False,False
59,2000-09-22,D,effective_federal_funds_rate,6.48,False,False
60,2000-09-25,D,effective_federal_funds_rate,6.54,False,False
61,2000-09-26,D,effective_federal_funds_rate,6.5,False,False
62,2000-09-27,D,effective_federal_funds_rate,6.5,False,False
63,2000-09-28,D,effective_federal_funds_rate,6.59,False,False
64,2000-09-29,D,effective_federal_funds_rate,6.6,False,False
65,2000-10-02,D,effective_federal_funds_rate,6.68,False,False
66,2000-10-03,D,effective_federal_funds_rate,6.46,False,False
67,2000-10-04,D,effective_federal_funds_rate,6.51,False,False
68,2000-10-05,D,effective_federal_funds_rate,6.54,False,False
69,2000-10-06,D,effective_federal_funds_rate,6.43,False,False
70,2000-10-09,D,effective_federal_funds_rate,,True,True
71,2000-10-10,D,effective_federal_funds_rate,6.57,False,False
72,2000-10-11,D,effective_federal_funds_rate,6.46,False,False
73,2000-10-12,D,effective_federal_funds_rate,6.47,False,False
74,2000-10-13,D,effective_federal_funds_rate,6.46,False,False
75,2000-10-16,D,effective_federal_funds_rate,6.59,False,False
76,2000-10-17,D,effective_federal_funds_rate,6.45,False,False
77,2000-10-18,D,effective_federal_funds_rate,6.53,False,False
78,2000-10-19,D,effective_federal_funds_rate,6.54,False,False
79,2000-10-20,D,effective_federal_funds_rate,6.5,False,False
80,2000-10-23,D,effective_federal_funds_rate,6.53,False,False
81,2000-10-24,D,effective_federal_funds_rate,6.49,False,False
82,2000-10-25,D,effective_federal_funds_rate,6.53,False,False
83,2000-10-26,D,effective_federal_funds_rate,6.53,False,False
84,2000-10-27,D,effective_federal_funds_rate,6.51,False,False
85,2000-10-30,D,effective_federal_funds_rate,6.59,False,False
86,2000-10-31,D,effective_federal_funds_rate,6.59,False,False
87,2000-11-01,D,effective_federal_funds_rate,6.61,False,False
88,2000-11-02,D,effective_federal_funds_rate,6.54,False,False
89,2000-11-03,D,effective_federal_funds_rate,6.48,False,False
90,2000-11-06,D,effective_federal_funds_rate,6.49,False,False
91,2000-11-07,D,effective_federal_funds_rate,6.48,False,False
92,2000-11-08,D,effective_federal_funds_rate,6.51,False,False
93,2000-11-09,D,effective_federal_funds_rate,6.52,False,False
94,2000-11-10,D,effective_federal_funds_rate,6.48,False,False
95,2000-11-13,D,effective_federal_funds_rate,6.55,False,False
96,2000-11-14,D,effective_federal_funds_rate,6.52,False,False
97,2000-11-15,D,effective_federal_funds_rate,6.61,False,False
98,2000-11-16,D,effective_federal_funds_rate,6.55,False,False
99,2000-11-17,D,effective_federal_funds_rate,6.48,False,False
100,2000-11-20,D,effective_federal_funds_rate,6.52,False,False
101,2000-11-21,D,effective_federal_funds_rate,6.5,False,False
102,2000-11-22,D,effective_federal_funds_rate,6.58,False,False
103,2000-11-23,D,effective_federal_funds_rate,,True,True
104,2000-11-24,D,effective_federal_funds_rate,6.49,False,False
105,2000-11-27,D,effective_federal_funds_rate,6.5,False,False
106,2000-11-28,D,effective_federal_funds_rate,6.46,False,False
107,2000-11-29,D,effective_federal_funds_rate,6.5,False,False
108,2000-11-30,D,effective_federal_funds_rate,6.62,False,False
109,2000-12-01,D,effective_federal_funds_rate,6.6,False,False
110,2000-12-04,D,effective_federal_funds_rate,6.57,False,False
111,2000-12-05,D,effective_federal_funds_rate,6.51,False,False
112,2000-12-06,D,effective_federal_funds_rate,6.48,False,False
113,2000-12-07,D,effective_federal_funds_rate,6.49,False,False
114,2000-12-08,D,effective_federal_funds_rate,6.47,False,False
115,2000-12-11,D,effective_federal_funds_rate,6.49,False,False
116,2000-12-12,D,effective_federal_funds_rate,6.43,False,False
117,2000-12-13,D,effective_federal_funds_rate,6.47,False,False
118,2000-12-14,D,effective_federal_funds_rate,6.53,False,False
119,2000-12-15,D,effective_federal_funds_rate,6.58,False,False
120,2000-12-18,D,effective_federal_funds_rate,6.5,False,False
121,2000-12-19,D,effective_federal_funds_rate,6.47,False,False
122,2000-12-20,D,effective_federal_funds_rate,6.47,False,False
123,2000-12-21,D,effective_federal_funds_rate,6.48,False,False
124,2000-12-22,D,effective_federal_funds_rate,6.44,False,False
125,2000-12-25,D,effective_federal_funds_rate,,True,True
126,2000-12-26,D,effective_federal_funds_rate,6.58,False,False
127,2000-12-27,D,effective_federal_funds_rate,6.53,False,False
128,2000-12-28,D,effective_federal_funds_rate,6.53,False,False
129,2000-12-29,D,effective_federal_funds_rate,5.41,False,False
130,2001-01-01,D,effective_federal_funds_rate,,True,True
131,2001-01-02,D,effective_federal_funds_rate,6.67,False,False
132,2001-01-03,D,effective_federal_funds_rate,6.35,False,False
133,2001-01-04,D,effective_federal_funds_rate,5.92,False,False
134,2001-01-05,D,effective_federal_funds_rate,5.83,False,False
135,2001-01-08,D,effective_federal_funds_rate,5.98,False,False
136,2001-01-09,D,effective_federal_funds_rate,5.95,False,False
137,2001-01-10,D,effective_federal_funds_rate,6.06,False,False
138,2001-01-11,D,effective_federal_funds_rate,6.05,False,False
139,2001-01-12,D,effective_federal_funds_rate,5.98,False,False
140,2001-01-15,D,effective_federal_funds_rate,,True,True
141,2001-01-16,D,effective_federal_funds_rate,6.2,False,False
142,2001-01-17,D,effective_federal_funds_rate,5.94,False,False
143,2001-01-18,D,effective_federal_funds_rate,5.93,False,False
144,2001-01-19,D,effective_federal_funds_rate,5.92,False,False
145,2001-01-22,D,effective_federal_funds_rate,6.0,False,False
146,2001-01-23,D,effective_federal_funds_rate,5.97,False,False
147,2001-01-24,D,effective_federal_funds_rate,6.05,False,False
148,2001-01-25,D,effective_federal_funds_rate,6.1,False,False
149,2001-01-26,D,effective_federal_funds_rate,5.96,False,False
150,2001-01-29,D,effective_federal_funds_rate,5.98,False,False
151,2001-01-30,D,effective_federal_funds_rate,5.9,False,False
152,2001-01-31,D,effective_federal_funds_rate,5.74,False,False
153,2001-02-01,D,effective_federal_funds_rate,5.57,False,False
154,2001-02-02,D,effective_federal_funds_rate,5.5,False,False
155,2001-02-05,D,effective_federal_funds_rate,5.52,False,False
156,2001-02-06,D,effective_federal_funds_rate,5.48,False,False
157,2001-02-07,D,effective_federal_funds_rate,5.5,False,False
158,2001-02-08,D,effective_federal_funds_rate,5.5,False,False
159,2001-02-09,D,effective_federal_funds_rate,5.44,False,False
160,2001-02-12,D,effective_federal_funds_rate,5.48,False,False
161,2001-02-13,D,effective_federal_funds_rate,5.46,False,False
162,2001-02-14,D,effective_federal_funds_rate,5.5,False,False
163,2001-02-15,D,effective_federal_funds_rate,5.57,False,False
164,2001-02-16,D,effective_federal_funds_rate,5.46,False,False
165,2001-02-19,D,effective_federal_funds_rate,,True,True
166,2001-02-20,D,effective_federal_funds_rate,5.57,False,False
167,2001-02-21,D,effective_federal_funds_rate,5.5,False,False
168,2001-02-22,D,effective_federal_funds_rate,5.52,False,False
169,2001-02-23,D,effective_federal_funds_rate,5.46,False,False
170,2001-02-26,D,effective_federal_funds_rate,5.55,False,False
171,2001-02-27,D,effective_federal_funds_rate,5.49,False,False
172,2001-02-28,D,effective_federal_funds_rate,5.59,False,False
173,2001-03-01,D,effective_federal_funds_rate,5.59,False,False
174,2001-03-02,D,effective_federal_funds_rate,5.52,False,False
175,2001-03-05,D,effective_federal_funds_rate,5.52,False,False
176,2001-03-06,D,effective_federal_funds_rate,5.39,False,False
177,2001-03-07,D,effective_federal_funds_rate,5.34,False,False
178,2001-03-08,D,effective_federal_funds_rate,5.46,False,False
179,2001-03-09,D,effective_federal_funds_rate,5.42,False,False
180,2001-03-12,D,effective_federal_funds_rate,5.5,False,False
181,2001-03-13,D,effective_federal_funds_rate,5.5,False,False
182,2001-03-14,D,effective_federal_funds_rate,5.48,False,False
183,2001-03-15,D,effective_federal_funds_rate,5.52,False,False
184,2001-03-16,D,effective_federal_funds_rate,5.4,False,False
185,2001-03-19,D,effective_federal_funds_rate,5.38,False,False
186,2001-03-20,D,effective_federal_funds_rate,5.14,False,False
187,2001-03-21,D,effective_federal_funds_rate,5.05,False,False
188,2001-03-22,D,effective_federal_funds_rate,5.04,False,False
189,2001-03-23,D,effective_federal_funds_rate,4.94,False,False
190,2001-03-26,D,effective_federal_funds_rate,5.03,False,False
191,2001-03-27,D,effective_federal_funds_rate,,True,True
192,2001-03-28,D,effective_federal_funds_rate,5.05,False,False
193,2001-03-29,D,effective_federal_funds_rate,5.19,False,False
194,2001-03-30,D,effective_federal_funds_rate,5.29,False,False
195,2001-04-02,D,effective_federal_funds_rate,5.3,False,False
196,2001-04-03,D,effective_federal_funds_rate,5.1,False,False
197,2001-04-04,D,effective_federal_funds_rate,5.01,False,False
198,2001-04-05,D,effective_federal_funds_rate,5.04,False,False
199,2001-04-06,D,effective_federal_funds_rate,4.94,False,False
200,2001-04-09,D,effective_federal_funds_rate,4.98,False,False
201,2001-04-10,D,effective_federal_funds_rate,4.96,False,False
202,2001-04-11,D,effective_federal_funds_rate,4.95,False,False
203,2001-04-12,D,effective_federal_funds_rate,5.02,False,False
204,2001-04-13,D,effective_federal_funds_rate,5.01,False,False
205,2001-04-16,D,effective_federal_funds_rate,5.17,False,False
206,2001-04-17,D,effective_federal_funds_rate,4.99,False,False
207,2001-04-18,D,effective_federal_funds_rate,4.67,False,False
208,2001-04-19,D,effective_federal_funds_rate,4.47,False,False
209,2001-04-20,D,effective_federal_funds_rate,4.38,False,False
210,2001-04-23,D,effective_federal_funds_rate,4.4,False,False
211,2001-04-24,D,effective_federal_funds_rate,4.41,False,False
212,2001-04-25,D,effective_federal_funds_rate,4.54,False,False
213,2001-04-26,D,effective_federal_funds_rate,4.57,False,False
214,2001-04-27,D,effective_federal_funds_rate,4.51,False,False
215,2001-04-30,D,effective_federal_funds_rate,4.67,False,False
216,2001-05-01,D,effective_federal_funds_rate,4.61,False,False
217,2001-05-02,D,effective_federal_funds_rate,4.35,False,False
218,2001-05-03,D,effective_federal_funds_rate,4.48,False,False
219,2001-05-04,D,effective_federal_funds_rate,4.41,False,False
220,2001-05-07,D,effective_federal_funds_rate,4.47,False,False
221,2001-05-08,D,effective_federal_funds_rate,4.41,False,False
222,2001-05-09,D,effective_federal_funds_rate,4.43,False,False
223,2001-05-10,D,effective_federal_funds_rate,4.51,False,False
224,2001-05-11,D,effective_federal_funds_rate,4.47,False,False
225,2001-05-14,D,effective_federal_funds_rate,4.43,False,False
226,2001-05-15,D,effective_federal_funds_rate,4.22,False,False
227,2001-05-16,D,effective_federal_funds_rate,4.04,False,False
228,2001-05-17,D,effective_federal_funds_rate,4.04,False,False
229,2001-05-18,D,effective_federal_funds_rate,3.95,False,False
230,2001-05-21,D,effective_federal_funds_rate,4.02,False,False
231,2001-05-22,D,effective_federal_funds_rate,3.99,False,False
232,2001-05-23,D,effective_federal_funds_rate,3.97,False,False
233,2001-05-24,D,effective_federal_funds_rate,3.98,False,False
234,2001-05-25,D,effective_federal_funds_rate,3.94,False,False
235,2001-05-28,D,effective_federal_funds_rate,,True,True
236,2001-05-29,D,effective_federal_funds_rate,4.09,False,False
237,2001-05-30,D,effective_federal_funds_rate,4.05,False,False
238,2001-05-31,D,effective_federal_funds_rate,4.24,False,False
239,2001-06-01,D,effective_federal_funds_rate,4.14,False,False
240,2001-06-04,D,effective_federal_funds_rate,4.03,False,False
241,2001-06-05,D,effective_federal_funds_rate,3.93,False,False
242,2001-06-06,D,effective_federal_funds_rate,3.91,False,False
243,2001-06-07,D,effective_federal_funds_rate,3.92,False,False
244,2001-06-08,D,effective_federal_funds_rate,4.02,False,False
245,2001-06-11,D,effective_federal_funds_rate,4.03,False,False
246,2001-06-12,D,effective_federal_funds_rate,3.98,False,False
247,2001-06-13,D,effective_federal_funds_rate,4.04,False,False
248,2001-06-14,D,effective_federal_funds_rate,4.03,False,False
249,2001-06-15,D,effective_federal_funds_rate,3.94,False,False
250,2001-06-18,D,effective_federal_funds_rate,3.91,False,False
251,2001-06-19,D,effective_federal_funds_rate,3.91,False,False
252,2001-06-20,D,effective_federal_funds_rate,3.98,False,False
253,2001-06-21,D,effective_federal_funds_rate,4.02,False,False
254,2001-06-22,D,effective_federal_funds_rate,3.98,False,False
255,2001-06-25,D,effective_federal_funds_rate,3.97,False,False
256,2001-06-26,D,effective_federal_funds_rate,3.75,False,False
257,2001-06-27,D,effective_federal_funds_rate,3.68,False,False
258,2001-06-28,D,effective_federal_funds_rate,3.86,False,False
259,2001-06-29,D,effective_federal_funds_rate,3.95,False,False
260,2001-07-02,D,effective_federal_funds_rate,4.11,False,False
261,2001-07-03,D,effective_federal_funds_rate,3.69,False,False
262,2001-07-04,D,effective_federal_funds_rate,,True,True
263,2001-07-05,D,effective_federal_funds_rate,3.72,False,False
264,2001-07-06,D,effective_federal_funds_rate,3.6,False,False
265,2001-07-09,D,effective_federal_funds_rate,3.67,False,False
266,2001-07-10,D,effective_federal_funds_rate,3.71,False,False
267,2001-07-11,D,effective_federal_funds_rate,3.78,False,False
268,2001-07-12,D,effective_federal_funds_rate,3.78,False,False
269,2001-07-13,D,effective_federal_funds_rate,3.75,False,False
270,2001-07-16,D,effective_federal_funds_rate,3.82,False,False
271,2001-07-17,D,effective_federal_funds_rate,3.71,False,False
272,2001-07-18,D,effective_federal_funds_rate,3.73,False,False
273,2001-07-19,D,effective_federal_funds_rate,3.77,False,False
274,2001-07-20,D,effective_federal_funds_rate,3.8,False,False
275,2001-07-23,D,effective_federal_funds_rate,3.82,False,False
276,2001-07-24,D,effective_federal_funds_rate,3.82,False,False
277,2001-07-25,D,effective_federal_funds_rate,3.89,False,False
278,2001-07-26,D,effective_federal_funds_rate,3.87,False,False
279,2001-07-27,D,effective_federal_funds_rate,3.75,False,False
280,2001-07-30,D,effective_federal_funds_rate,3.79,False,False
281,2001-07-31,D,effective_federal_funds_rate,3.82,False,False
282,2001-08-01,D,effective_federal_funds_rate,3.79,False,False
283,2001-08-02,D,effective_federal_funds_rate,3.68,False,False
284,2001-08-03,D,effective_federal_funds_rate,3.69,False,False
285,2001-08-06,D,effective_federal_funds_rate,3.73,False,False
286,2001-08-07,D,effective_federal_funds_rate,3.69,False,False
287,2001-08-08,D,effective_federal_funds_rate,3.75,False,False
288,2001-08-09,D,effective_federal_funds_rate,3.77,False,False
289,2001-08-10,D,effective_federal_funds_rate,3.7,False,False
290,2001-08-13,D,effective_federal_funds_rate,3.79,False,False
291,2001-08-14,D,effective_federal_funds_rate,3.76,False,False
292,2001-08-15,D,effective_federal_funds_rate,3.83,False,False
293,2001-08-16,D,effective_federal_funds_rate,3.75,False,False
294,2001-08-17,D,effective_federal_funds_rate,3.66,False,False
295,2001-08-20,D,effective_federal_funds_rate,3.64,False,False
296,2001-08-21,D,effective_federal_funds_rate,3.53,False,False
297,2001-08-22,D,effective_federal_funds_rate,3.51,False,False
298,2001-08-23,D,effective_federal_funds_rate,3.55,False,False
299,2001-08-24,D,effective_federal_funds_rate,3.51,False,False
300,2001-08-27,D,effective_federal_funds_rate,3.54,False,False
301,2001-08-28,D,effective_federal_funds_rate,3.5,False,False
302,2001-08-29,D,effective_federal_funds_rate,3.5,False,False
303,2001-08-30,D,effective_federal_funds_rate,3.58,False,False
304,2001-08-31,D,effective_federal_funds_rate,3.66,False,False
305,2001-09-03,D,effective_federal_funds_rate,,True,True
306,2001-09-04,D,effective_federal_funds_rate,3.67,False,False
307,2001-09-05,D,effective_federal_funds_rate,3.49,False,False
308,2001-09-06,D,effective_federal_funds_rate,3.52,False,False
309,2001-09-07,D,effective_federal_funds_rate,3.44,False,False
310,2001-09-10,D,effective_federal_funds_rate,3.5,False,False
311,2001-09-11,D,effective_federal_funds_rate,3.5,False,False
312,2001-09-12,D,effective_federal_funds_rate,3.56,False,False
313,2001-09-13,D,effective_federal_funds_rate,3.31,False,False
314,2001-09-14,D,effective_federal_funds_rate,3.13,False,False
315,2001-09-17,D,effective_federal_funds_rate,2.13,False,False
316,2001-09-18,D,effective_federal_funds_rate,1.25,False,False
317,2001-09-19,D,effective_federal_funds_rate,1.19,False,False
318,2001-09-20,D,effective_federal_funds_rate,2.22,False,True
319,2001-09-21,D,effective_federal_funds_rate,3.11,False,False
320,2001-09-24,D,effective_federal_funds_rate,3.31,False,False
321,2001-09-25,D,effective_federal_funds_rate,3.11,False,False
322,2001-09-26,D,effective_federal_funds_rate,2.96,False,False
323,2001-09-27,D,effective_federal_funds_rate,3.08,False,False
324,2001-09-28,D,effective_federal_funds_rate,2.75,False,False
325,2001-10-01,D,effective_federal_funds_rate,3.02,False,False
326,2001-10-02,D,effective_federal_funds_rate,2.35,False,False
327,2001-10-03,D,effective_federal_funds_rate,2.27,False,False
328,2001-10-04,D,effective_federal_funds_rate,2.45,False,False
329,2001-10-05,D,effective_federal_funds_rate,2.42,False,False
330,2001-10-08,D,effective_federal_funds_rate,,True,True
331,2001-10-09,D,effective_federal_funds_rate,2.5,False,False
332,2001-10-10,D,effective_federal_funds_rate,2.42,False,False
333,2001-10-11,D,effective_federal_funds_rate,2.42,False,False
334,2001-10-12,D,effective_federal_funds_rate,2.39,False,False
335,2001-10-15,D,effective_federal_funds_rate,2.51,False,False
336,2001-10-16,D,effective_federal_funds_rate,2.47,False,False
337,2001-10-17,D,effective_federal_funds_rate,2.51,False,False
338,2001-10-18,D,effective_federal_funds_rate,2.5,False,False
339,2001-10-19,D,effective_federal_funds_rate,2.47,False,False
340,2001-10-22,D,effective_federal_funds_rate,2.52,False,False
341,2001-10-23,D,effective_federal_funds_rate,2.48,False,False
342,2001-10-24,D,effective_federal_funds_rate,2.53,False,False
343,2001-10-25,D,effective_federal_funds_rate,2.54,False,False
344,2001-10-26,D,effective_federal_funds_rate,2.51,False,False
345,2001-10-29,D,effective_federal_funds_rate,2.55,False,False
346,2001-10-30,D,effective_federal_funds_rate,2.55,False,False
347,2001-10-31,D,effective_federal_funds_rate,2.66,False,False
348,2001-11-01,D,effective_federal_funds_rate,2.61,False,False
349,2001-11-02,D,effective_federal_funds_rate,2.43,False,False
350,2001-11-05,D,effective_federal_funds_rate,2.45,False,False
351,2001-11-06,D,effective_federal_funds_rate,2.13,False,False
352,2001-11-07,D,effective_federal_funds_rate,2.04,False,False
353,2001-11-08,D,effective_federal_funds_rate,2.03,False,False
354,2001-11-09,D,effective_federal_funds_rate,1.98,False,False
355,2001-11-12,D,effective_federal_funds_rate,,True,True
356,2001-11-13,D,effective_federal_funds_rate,2.1,False,False
357,2001-11-14,D,effective_federal_funds_rate,2.16,False,False
358,2001-11-15,D,effective_federal_funds_rate,2.22,False,False
359,2001-11-16,D,effective_federal_funds_rate,1.98,False,False
360,2001-11-19,D,effective_federal_funds_rate,2.01,False,False
361,2001-11-20,D,effective_federal_funds_rate,1.97,False,False
362,2001-11-21,D,effective_federal_funds_rate,1.93,False,False
363,2001-11-22,D,effective_federal_funds_rate,,True,True
364,2001-11-23,D,effective_federal_funds_rate,1.88,False,False
365,2001-11-26,D,effective_federal_funds_rate,2.04,False,False
366,2001-11-27,D,effective_federal_funds_rate,2.01,False,False
367,2001-11-28,D,effective_federal_funds_rate,2.04,False,False
368,2001-11-29,D,effective_federal_funds_rate,2.09,False,False
369,2001-11-30,D,effective_federal_funds_rate,2.06,False,False
370,2001-12-03,D,effective_federal_funds_rate,2.05,False,False
371,2001-12-04,D,effective_federal_funds_rate,1.93,False,False
372,2001-12-05,D,effective_federal_funds_rate,1.89,False,False
373,2001-12-06,D,effective_federal_funds_rate,1.87,False,False
374,2001-12-07,D,effective_federal_funds_rate,1.92,False,False
375,2001-12-10,D,effective_federal_funds_rate,1.9,False,False
376,2001-12-11,D,effective_federal_funds_rate,1.8,False,False
377,2001-12-12,D,effective_federal_funds_rate,1.81,False,False
378,2001-12-13,D,effective_federal_funds_rate,1.86,False,False
379,2001-12-14,D,effective_federal_funds_rate,1.88,False,False
380,2001-12-17,D,effective_federal_funds_rate,1.93,False,False
381,2001-12-18,D,effective_federal_funds_rate,1.71,False,False
382,2001-12-19,D,effective_federal_funds_rate,1.71,False,False
383,2001-12-20,D,effective_federal_funds_rate,1.79,False,False
384,2001-12-21,D,effective_federal_funds_rate,1.78,False,False
385,2001-12-24,D,effective_federal_funds_rate,1.68,False,False
386,2001-12-25,D,effective_federal_funds_rate,,True,True
387,2001-12-26,D,effective_federal_funds_rate,1.89,False,False
388,2001-12-27,D,effective_federal_funds_rate,1.85,False,False
389,2001-12-28,D,effective_federal_funds_rate,1.54,False,False
390,2001-12-31,D,effective_federal_funds_rate,1.52,False,False
391,2002-01-01,D,effective_federal_funds_rate,,True,True
392,2002-01-02,D,effective_federal_funds_rate,1.92,False,False
393,2002-01-03,D,effective_federal_funds_rate,1.72,False,False
394,2002-01-04,D,effective_federal_funds_rate,1.61,False,False
395,2002-01-07,D,effective_federal_funds_rate,1.61,False,False
396,2002-01-08,D,effective_federal_funds_rate,1.61,False,False
397,2002-01-09,D,effective_federal_funds_rate,1.74,False,False
398,2002-01-10,D,effective_federal_funds_rate,1.81,False,False
399,2002-01-11,D,effective_federal_funds_rate,1.71,False,False
400,2002-01-14,D,effective_federal_funds_rate,1.78,False,False
401,2002-01-15,D,effective_federal_funds_rate,1.75,False,False
402,2002-01-16,D,effective_federal_funds_rate,1.69,False,False
403,2002-01-17,D,effective_federal_funds_rate,1.68,False,False
404,2002-01-18,D,effective_federal_funds_rate,1.71,False,False
405,2002-01-21,D,effective_federal_funds_rate,,True,True
406,2002-01-22,D,effective_federal_funds_rate,1.84,False,False
407,2002-01-23,D,effective_federal_funds_rate,1.81,False,False
408,2002-01-24,D,effective_federal_funds_rate,1.8,False,False
409,2002-01-25,D,effective_federal_funds_rate,1.78,False,False
410,2002-01-28,D,effective_federal_funds_rate,1.79,False,False
411,2002-01-29,D,effective_federal_funds_rate,1.78,False,False
412,2002-01-30,D,effective_federal_funds_rate,1.78,False,False
413,2002-01-31,D,effective_federal_funds_rate,1.85,False,False
414,2002-02-01,D,effective_federal_funds_rate,1.77,False,False
415,2002-02-04,D,effective_federal_funds_rate,1.74,False,False
416,2002-02-05,D,effective_federal_funds_rate,1.64,False,False
417,2002-02-06,D,effective_federal_funds_rate,1.66,False,False
418,2002-02-07,D,effective_federal_funds_rate,1.74,False,False
419,2002-02-08,D,effective_federal_funds_rate,1.69,False,False
420,2002-02-11,D,effective_federal_funds_rate,1.76,False,False
421,2002-02-12,D,effective_federal_funds_rate,1.72,False,False
422,2002-02-13,D,effective_federal_funds_rate,1.75,False,False
423,2002-02-14,D,effective_federal_funds_rate,1.81,False,False
424,2002-02-15,D,effective_federal_funds_rate,1.73,False,False
425,2002-02-18,D,effective_federal_funds_rate,1.73,False,False
426,2002-02-19,D,effective_federal_funds_rate,1.77,False,False
427,2002-02-20,D,effective_federal_funds_rate,1.76,False,False
428,2002-02-21,D,effective_federal_funds_rate,1.77,False,False
429,2002-02-22,D,effective_federal_funds_rate,1.71,False,False
430,2002-02-25,D,effective_federal_funds_rate,1.8,False,False
431,2002-02-26,D,effective_federal_funds_rate,1.77,False,False
432,2002-02-27,D,effective_federal_funds_rate,1.76,False,False
433,2002-02-28,D,effective_federal_funds_rate,1.83,False,False
434,2002-03-01,D,effective_federal_funds_rate,1.78,False,False
435,2002-03-04,D,effective_federal_funds_rate,1.68,False,False
436,2002-03-05,D,effective_federal_funds_rate,1.63,False,False
437,2002-03-06,D,effective_federal_funds_rate,1.71,False,False
438,2002-03-07,D,effective_federal_funds_rate,1.77,False,False
439,2002-03-08,D,effective_federal_funds_rate,1.69,False,False
440,2002-03-11,D,effective_federal_funds_rate,1.75,False,False
441,2002-03-12,D,effective_federal_funds_rate,1.68,False,False
442,2002-03-13,D,effective_federal_funds_rate,1.73,False,False
443,2002-03-14,D,effective_federal_funds_rate,1.79,False,False
444,2002-03-15,D,effective_federal_funds_rate,1.8,False,False
445,2002-03-18,D,effective_federal_funds_rate,1.71,False,False
446,2002-03-19,D,effective_federal_funds_rate,1.67,False,False
447,2002-03-20,D,effective_federal_funds_rate,1.78,False,False
448,2002-03-21,D,effective_federal_funds_rate,1.74,False,False
449,2002-03-22,D,effective_federal_funds_rate,1.68,False,False
450,2002-03-25,D,effective_federal_funds_rate,1.75,False,False
